,Tissue,cell_ontology_class,age,dataset,cell_id,seurat_clusters
1197_FACS 3m,lung,lung endothelial cell,3m,FACS 3m,1197_FACS 3m,0
1198_FACS 3m,fat,NA,3m,FACS 3m,1198_FACS 3m,1
1199_FACS 3m,pancreas,pancreatic D cell,3m,FACS 3m,1199_FACS 3m,28
1200_FACS 3m,tongue,keratinocyte,3m,FACS 3m,1200_FACS 3m,23
1201_FACS 3m,heart,cardiac muscle cell,3m,FACS 3m,1201_FACS 3m,3
1202_FACS 3m,marrow,Slamf1-negative multipotent progenitor cell,3m,FACS 3m,1202_FACS 3m,9
1203_FACS 3m,liver,hepatocyte,3m,FACS 3m,1203_FACS 3m,26
1204_FACS 3m,brain_non-myeloid,neuron,3m,FACS 3m,1204_FACS 3m,2
1205_FACS 3m,lung,epithelial cell of lung,3m,FACS 3m,1205_FACS 3m,15
1206_FACS 3m,heart,fibroblast,3m,FACS 3m,1206_FACS 3m,5
